"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"227933_at",-1.43269786013988,9.82663124954474,-5.32029392055886,3.49811148624394e-07,4.1779222042223e-05,6.32015665633326,"LINGO1","84894","leucine rich repeat and Ig domain containing 1"
"1553976_a_at",-1.99978522141078,7.89561810615099,-5.31878997461609,3.52270654095143e-07,4.19735064705658e-05,6.31355692499167,"DPCD","25911","deleted in primary ciliary dyskinesia homolog (mouse)"
"202452_at",-1.53107919931594,8.17748379044168,-5.3133900162997,3.61241204156099e-07,4.29408441761122e-05,6.28987096131289,"ZER1","10444","zyg-11 related cell cycle regulator"
"200918_s_at",-1.9231618964927,8.56214145049297,-5.31150489918285,3.64424913388265e-07,4.32173648463105e-05,6.28160611625333,"SRPRA","6734","SRP receptor subunit alpha"
"225274_at",-1.79781713547076,10.3506172056159,-5.30542734622347,3.74876326565518e-07,4.43524453878607e-05,6.25497425344608,"PCYOX1","51449","prenylcysteine oxidase 1"
"218492_s_at",-1.35323625397639,7.753180768078,-5.3015849279064,3.81634094333259e-07,4.50462294812426e-05,6.23814757079808,"THAP7","80764","THAP domain containing 7"
"224145_s_at",-2.20294147190964,6.05482365585878,-5.29802320106936,3.88004093033865e-07,4.56911081612146e-05,6.22255757610434,"SPTBN4","57731","spectrin beta, non-erythrocytic 4"
"213872_at",-2.61794123681734,8.22305601472125,-5.29572573754244,3.92167835067291e-07,4.60737786835118e-05,6.21250519816441,NA,NA,NA
"218470_at",-1.71498479515909,7.37479575829248,-5.29448620121792,3.94432315735592e-07,4.61324995283932e-05,6.2070829467449,"YARS2","51067","tyrosyl-tRNA synthetase 2"
"212440_at",-1.48676563851522,9.24422559226113,-5.29445020311077,3.94498269810866e-07,4.61324995283932e-05,6.20692548898926,"SNRNP27","11017","small nuclear ribonucleoprotein U4/U6.U5 subunit 27"
"202260_s_at",-2.25813882629296,12.8475831177573,-5.29203634663581,3.98945423105328e-07,4.65445561803973e-05,6.19636882584477,"STXBP1","6812","syntaxin binding protein 1"
"225063_at",-2.94365923003659,6.51270281613309,-5.29110573306275,4.00672942914457e-07,4.66381454869089e-05,6.19229980296816,"UBL7","84993","ubiquitin like 7"
"229264_at",-1.61340925307332,8.00383783172038,-5.28964856804339,4.03392558755405e-07,4.67708582956045e-05,6.18592947188824,NA,NA,NA
"201106_at",-1.92102717717432,10.305741737916,-5.28950096535206,4.03669041459256e-07,4.67708582956045e-05,6.1852842602735,"GPX4","2879","glutathione peroxidase 4"
